Designação,Nome,Endereço,Bairro,CRE,Atividade,Telefones,Link cartela,GlobalID,Data_Inauguracao,Designacao_num,Nome_abrev,Cod_microarea_SME
514803,Espaço de Desenvolvimento Infantil José Alpoim,"Praça Cel. João Zani, S/Nº",Colégio,5,Espaço de Desenvolvimento Infantil - EDI,2473-8544,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10945&cmd=load,{909567C4-A4C7-425C-A1AF-B2F8EA8C30C9},,514.803,EDI José Alpoim,5.8
102802,Espaço de Desenvolvimento Infantil Campos Salles,"Pça. da República, S/Nº",Centro,1,Espaço de Desenvolvimento Infantil - EDI,2221-3919,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11235&cmd=load,{20643A57-DF8A-4D4E-A59A-03907764E350},,102.802,EDI Campos Salles,1.7
313804,Espaço de Desenvolvimento Infantil George Bernanos,"Pça. Avai, S/Nº",Cachambi,3,Espaço de Desenvolvimento Infantil - EDI,2595-3524,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11830&cmd=load,{A5B7A1D5-D6A2-4865-99D9-5192B2A6D3AE},,313.804,EDI George Bernanos,3.10
313803,Espaço de Desenvolvimento Infantil Maria Braz,"Rua Heráclito Graça, 109",Lins de Vasconcelos,3,Espaço de Desenvolvimento Infantil - EDI,2269-1447,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11849&cmd=load,{489EBD0A-9D6B-4628-B26E-7860AC678965},,313.803,EDI Mª Braz,3.5
204801,Espaço de Desenvolvimento Infantil Marechal Hermes,"Rua Capistrano de Abreu, 1",Botafogo,2,Espaço de Desenvolvimento Infantil - EDI,2539-3701,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10801&cmd=load,{78A589F7-183E-4CA2-8D72-E409970E5303},,204.801,EDI Mal. Hermes,2.1
625809,Espaço de Desenvolvimento Infantil Sebastião Tavares do Nascimento,"Rua Nossa Senhora do Amparo, S/Nº",Pavuna,6,Espaço de Desenvolvimento Infantil - EDI,2474-6204,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11624&cmd=load,{3090CC54-EC77-4237-9C9F-1A4B9A8E063E},,625.809,EDI Sebastião Tavares do Nascimento,6.6
625806,Espaço de Desenvolvimento Infantil Jardim de Infância Ana de Barros Câmara,"Rua Theremin, S/Nº",Coelho Neto,6,Espaço de Desenvolvimento Infantil - EDI,38372777,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11411&cmd=load,{6589A1B3-6C00-4F72-A945-15B9A2DF56C0},,625.806,EDI Jard. de Infância Ana de Barros Câmara,6.7
817811,Espaço de Desenvolvimento Infantil Norbertina de Souza Gouveia,"Av. Etipóia, S/Nº -V. Kennedy",Vila Kennedy,8,Espaço de Desenvolvimento Infantil - EDI,2405-1310,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11073&cmd=load,{33646A25-DDE0-4C99-B5A8-BB0DD91E4868},,817.811,EDI Norbertina de Souza Gouveia,8.21
817813,Espaço de Desenvolvimento Infantil Vila Kennedy,Estr. Sargento Miguel Filho S/Nº,Vila Kennedy,8,Espaço de Desenvolvimento Infantil - EDI,2405-4427,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11880&cmd=load,{20B4EF94-7465-4C7D-9D73-3C35B091FBD7},,817.813,EDI Vila Kennedy,8.21
817812,Espaço de Desenvolvimento Infantil Taquaral,"Rua M, 74 - Conj. Hab. Taquaral",Bangu,8,Espaço de Desenvolvimento Infantil - EDI,33389243,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11879&cmd=load,{C859ED04-E9D7-424C-9747-A5D3E679E9B2},,817.812,EDI Taquaral,8.20
